student_id,course,branch,cgpa,skills,interests,projects,certifications,career_goal
S00001,B.Pharm,Pharmacy,6.43,"Lab Techniques, Quality Control, Pharmaceutical Chemistry, Drug Safety, Biostatistics",Urban Design,"Pharma Drug Stability Study, Clinical Research Report, Tablet Dissolution Test","Pharma Quality Cert, Drug Development Process",Quality Assurance Engineer
S00002,B.Pharm,Pharmacy,8.53,"Biostatistics, Quality Control, Drug Safety, Lab Techniques, Pharmaceutical Chemistry",Business Analytics,"Tablet Dissolution Test, Clinical Research Report, Pharma Drug Stability Study","Clinical Research Certification, Pharma Quality Cert",Quality Assurance Engineer
S00003,B.Tech,CE,9.31,"Machine Learning, Python, JavaScript, Cloud Computing, AutoCAD","Data Science, Networking","E-commerce Backend, IoT Home Automation, Chatbot Assistant","Google Data Analytics, Cisco Networking Basics",AI Engineer
S00004,M.Pharm,Pharmacy,7.13,"Drug Formulation, Pharmacology, Quality Assurance","Cybersecurity, Pharma Research","Pharma R&D Project, Drug Formulation Study, Clinical Data Analytics","Quality Assurance Certification, Clinical Data Management",Pharma Researcher
S00005,B.Pharm,Pharmacy,8.53,"Quality Control, Drug Safety, Pharmaceutical Chemistry, Biostatistics, Lab Techniques","Pharma Research, Business Analytics","Clinical Research Report, Tablet Dissolution Test","Pharma Quality Cert, Drug Development Process",Pharma Researcher
S00006,MBA,ME,6.26,"SQL, Digital Marketing, Business Analysis, Leadership, Project Management","Pharma Research, Cybersecurity","HR Analytics, Market Analysis Project","Google Business Analytics, Six Sigma",Product Manager
S00007,MCA,Architecture,7.41,"Node.js, React, Java",Data Science,"Online Exam Portal, Inventory Management System","Coursera Python for Everybody, Meta Front-End Developer, Full Stack Developer Cert",Web Developer
S00008,MBA,AI,6.98,"Excel, SQL, Digital Marketing, Project Management, Business Analysis",Robotics,"Startup Business Plan, Finance Forecasting Model, Market Analysis Project","Digital Marketing Certification, Google Business Analytics, Project Management Professional",Product Manager
S00009,B.Arch,Architecture,9.28,"Architectural Design, SketchUp, Urban Planning, 3D Modeling, AutoCAD",Urban Design,"Green Building Model, Urban Housing Layout, Bridge Design Simulation","3DS Max Design, Autodesk AutoCAD Certification, Urban Design Certification",Architect
S00010,MCA,IT,6.33,"Data Structures, Java, Node.js, Python",Pharma Research,"Online Exam Portal, React Dashboard, Inventory Management System","Coursera Python for Everybody, Meta Front-End Developer",Software Engineer
S00011,MBA,CE,7.71,"Project Management, Excel, Business Analysis, Leadership, Digital Marketing","AI, Urban Design","Startup Business Plan, Market Analysis Project","Project Management Professional, Six Sigma",Product Manager
S00012,B.Tech,CE,6.28,"Machine Learning, JavaScript, SQL",Business Analytics,"Portfolio Website, Chatbot Assistant, E-commerce Backend","Google Data Analytics, Cisco Networking Basics",AI Engineer
S00013,B.Arch,Architecture,7.65,"Urban Planning, AutoCAD, Architectural Design, 3D Modeling","Business Analytics, Civil Planning","3D City Design, Urban Housing Layout","Urban Design Certification, Autodesk AutoCAD Certification",Architect
S00014,B.Arch,Architecture,7.8,"3D Modeling, Architectural Design, AutoCAD",Pharma Research,"Urban Housing Layout, Green Building Model","Urban Design Certification, Revit Professional",Architect
S00015,M.Pharm,Pharmacy,7.56,"Drug Formulation, Clinical Trials, Pharmacology","Robotics, Cybersecurity","Drug Formulation Study, Clinical Data Analytics, Pharma R&D Project","Advanced Pharmacology, Clinical Data Management",Quality Assurance Engineer
S00016,B.Tech,DS,8.87,"HTML, Python, AutoCAD","Networking, Product Management","Loan Prediction Model, E-commerce Backend","Google Data Analytics, Microsoft Azure Fundamentals",Web Developer
S00017,M.Pharm,Pharmacy,6.92,"Quality Assurance, Drug Formulation, Research",Urban Design,"Drug Formulation Study, Clinical Data Analytics","Clinical Data Management, Advanced Pharmacology, Quality Assurance Certification",Pharma Researcher
S00018,MBA,ECE,8.62,"Project Management, Digital Marketing, Excel, SQL","Urban Design, Product Management","Market Analysis Project, HR Analytics","Google Business Analytics, Project Management Professional",Product Manager
S00019,B.Tech,EEE,7.44,"JavaScript, AutoCAD, Machine Learning",Pharma Research,"Loan Prediction Model, Portfolio Website, Chatbot Assistant","Google Data Analytics, Microsoft Azure Fundamentals",AI Engineer
S00020,B.Arch,Architecture,7.1,"Urban Planning, Revit, SketchUp","Networking, Cybersecurity","Urban Housing Layout, Green Building Model, 3D City Design","Autodesk AutoCAD Certification, Urban Design Certification, Revit Professional",Architect
S00021,B.Pharm,Pharmacy,9.82,"Biostatistics, Drug Safety, Lab Techniques",Data Science,"Clinical Research Report, Pharma Drug Stability Study","Clinical Research Certification, Pharma Quality Cert",Quality Assurance Engineer
S00022,B.Tech,ME,7.42,"HTML, SQL, AutoCAD",Civil Planning,"E-commerce Backend, Portfolio Website, Loan Prediction Model","AWS Cloud Practitioner, Cisco Networking Basics",Product Manager
S00023,B.Arch,Architecture,9.05,"Urban Planning, SketchUp, Revit, AutoCAD",IoT,"Green Building Model, Urban Housing Layout","Urban Design Certification, Revit Professional",Architect
